Vehicle_Reference_df_res,Vehicle_Type,Vehicle_Manoeuvre,Vehicle_Location-Restricted_Lane,Hit_Object_in_Carriageway,Hit_Object_off_Carriageway,Was_Vehicle_Left_Hand_Drive?,Age_of_Driver,Age_Band_of_Driver,Engine_Capacity_(CC),Propulsion_Code,Age_of_Vehicle,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Number_of_Vehicles,Number_of_Casualties,Local_Authority_(District),1st_Road_Number,2nd_Road_Number,Urban_or_Rural_Area,Vehicle_Reference_df,Casualty_Reference,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Pedestrian_Location,Pedestrian_Movement,Casualty_Type,Casualty_IMD_Decile
1,9,18,0,0,0,0,19,4,1900.0,2,9,464249.0,451401.0,-1.022405,53.954722,12,2,4,189.0,1079.0,2.0,1,2,4,1,15,3,0,0,9,10
1,9,18,0,0,0,0,62,9,1242.0,1,6,528880.0,192080.0,-0.140058,51.612806,1,2,1,32.0,0.0,0.0,0,1,1,1,62,9,0,0,9,10
1,9,18,0,0,0,0,31,6,1895.0,1,15,448344.0,271335.0,-1.291879,52.337975,23,1,1,292.0,4429.0,0.0,1,1,1,1,64,9,8,3,0,9
1,9,18,0,0,0,0,40,7,1598.0,1,8,369250.0,422030.0,-2.467165,53.693801,4,2,4,70.0,666.0,0.0,0,1,3,1,23,5,0,0,9,3
1,9,9,0,0,0,0,33,6,1560.0,2,2,456964.0,344686.0,-1.152724,52.996479,31,2,2,346.0,6004.0,0.0,0,2,2,0,41,7,0,0,19,4
1,9,17,0,0,10,0,29,6,1389.0,1,11,349660.0,444330.0,-2.767469,53.89269,4,1,1,85.0,6430.0,0.0,1,1,1,0,29,6,0,0,9,7
2,9,16,0,0,0,0,69,10,1796.0,1,18,447334.0,242015.0,-1.310791,52.07448400000001,43,3,2,481.0,361.0,0.0,1,2,2,1,66,10,0,0,9,5
1,9,13,0,7,2,0,52,8,998.0,1,14,488252.0,410750.0,-0.668331,53.585919,16,1,2,232.0,0.0,0.0,0,1,1,1,52,8,0,0,9,3
1,9,3,0,0,0,0,48,8,995.0,1,8,396369.0,340508.0,-2.055503,52.961926,21,2,1,256.0,50.0,50.0,1,1,1,1,48,8,0,0,9,10
2,9,18,0,0,0,0,52,8,1299.0,1,14,412555.0,415807.0,-1.811586,53.638632,13,2,1,203.0,0.0,0.0,0,2,1,0,52,8,0,0,9,6
2,9,16,0,0,0,0,30,6,1998.0,1,7,442219.0,539710.0,-1.345603,54.750576,11,2,3,169.0,0.0,0.0,0,2,2,1,22,5,0,0,9,5
1,9,3,0,0,0,0,26,6,1968.0,2,7,535230.0,195520.0,-0.047078,51.64223,1,2,1,32.0,1010.0,0.0,0,1,1,0,26,6,0,0,9,4
2,9,18,0,0,0,0,62,9,1968.0,2,1,361267.0,169584.0,-2.5584580000000003,51.423933,52,3,2,601.0,0.0,0.0,0,2,2,0,25,5,0,0,9,4
2,9,10,0,0,0,0,27,6,1390.0,1,7,283980.0,71949.0,-3.638493,50.535773,50,2,1,585.0,383.0,0.0,0,1,1,0,50,8,0,0,5,4
2,9,18,0,0,0,0,51,8,1198.0,1,1,435350.0,284500.0,-1.481197,52.457313,20,2,1,302.0,6.0,0.0,0,2,1,1,51,8,0,0,9,8
1,9,5,0,0,0,0,60,9,1497.0,8,3,331140.0,432170.0,-3.0465,53.781283,4,2,1,71.0,5262.0,0.0,0,2,1,1,25,5,0,0,1,4
1,5,18,0,0,0,0,27,6,988.0,1,11,333671.0,391007.0,-2.999325,53.411685,5,1,1,91.0,0.0,0.0,0,1,1,0,27,6,0,0,5,2
1,9,10,0,0,0,0,47,8,1596.0,1,7,491778.0,418185.0,-0.612896,53.652122,16,2,1,232.0,1077.0,0.0,1,1,1,1,47,8,0,0,9,8
2,9,18,0,0,0,0,25,5,1124.0,1,15,435280.0,335100.0,-1.476822,52.912174,30,2,2,323.0,81.0,0.0,0,2,2,0,20,4,0,0,9,1
1,9,4,0,0,0,0,33,6,2993.0,2,9,434254.0,434318.0,-1.481368,53.804038,13,2,2,204.0,64.0,0.0,0,1,2,1,28,6,0,0,9,5
2,9,18,0,0,0,0,39,7,1598.0,1,9,453463.0,392154.0,-1.196945,53.42348000000001,14,2,3,213.0,631.0,6427.0,0,1,3,1,22,5,0,0,9,1
1,9,9,0,0,0,0,57,9,3222.0,2,12,252904.0,53291.0,-4.069396,50.361095,50,2,2,583.0,0.0,0.0,0,1,1,1,57,9,0,0,9,10
1,9,4,0,0,0,0,31,6,998.0,1,9,405620.0,286060.0,-1.918693,52.472446,20,2,1,300.0,4284.0,456.0,0,2,1,0,24,5,0,0,9,7
1,8,9,0,0,0,0,26,6,1797.0,8,4,528770.0,192550.0,-0.14147300000000002,51.617055,1,2,2,32.0,1003.0,109.0,0,1,1,0,26,6,0,0,8,5
1,9,9,0,0,0,0,22,5,1995.0,2,11,541700.0,182950.0,0.041294,51.527689,1,2,1,17.0,0.0,0.0,0,2,1,0,27,6,0,0,9,8
1,9,9,0,0,0,0,42,7,1796.0,1,12,535950.0,168380.0,-0.04714,51.39817100000001,1,2,1,19.0,222.0,214.0,0,2,1,0,20,4,0,0,9,7
2,9,18,0,0,0,0,58,9,1360.0,1,16,456362.0,404187.0,-1.15117,53.531325,14,2,2,211.0,638.0,0.0,0,2,1,1,58,9,0,0,9,3
2,9,18,0,0,0,0,63,9,1242.0,1,13,537714.0,199667.0,-0.00957,51.678892,42,3,4,456.0,121.0,0.0,0,2,2,1,63,9,0,0,9,7
2,4,13,0,0,0,0,21,5,499.0,1,8,523140.0,186650.0,-0.224817,51.56529000000001,1,2,1,28.0,5.0,0.0,0,2,1,0,21,5,0,0,4,2
1,9,18,0,0,11,0,61,9,2400.0,2,8,413444.0,182416.0,-1.807545,51.540486,54,1,2,633.0,4.0,0.0,1,1,1,0,61,9,0,0,9,10
2,9,4,0,0,0,0,44,7,998.0,1,10,346027.0,390226.0,-2.813329,53.406077,5,3,4,90.0,57.0,0.0,0,2,1,1,44,7,0,0,9,3
4,9,2,0,0,0,0,23,5,1299.0,1,14,391500.0,291110.0,-2.126692,52.517805,20,4,1,303.0,0.0,4175.0,0,1,1,0,31,6,0,0,1,5
1,9,13,0,0,9,0,48,8,1968.0,2,1,538780.0,265190.0,0.032307,52.267363,35,2,1,395.0,1050.0,0.0,1,1,1,1,48,8,0,0,9,6
2,9,2,0,0,2,0,57,9,1747.0,1,14,342350.0,462270.0,-2.882086,54.053147,4,2,3,76.0,0.0,0.0,0,2,2,1,57,9,0,0,9,7
1,9,18,0,0,0,0,52,8,1590.0,1,13,303733.0,90622.0,-3.364707,50.707237,50,4,4,580.0,3052.0,0.0,1,1,1,1,52,8,0,0,9,7
1,9,3,0,0,0,0,38,7,2720.0,2,8,407135.0,143415.0,-1.899284,51.189916,54,2,1,635.0,360.0,0.0,1,1,1,0,38,7,0,0,9,7
1,9,18,0,0,0,0,26,6,1124.0,1,13,434768.0,285000.0,-1.489709,52.461845,23,3,2,291.0,6.0,0.0,1,1,1,0,26,6,0,0,9,2
1,3,13,0,0,0,0,23,5,124.0,1,2,492298.0,181659.0,-0.670941,51.526311,43,2,1,477.0,54.0,864.0,0,1,1,0,23,5,0,0,3,5
2,9,18,0,0,0,0,53,8,1242.0,1,16,515550.0,193650.0,-0.331965,51.629807,1,2,2,29.0,4140.0,0.0,1,2,2,1,54,8,0,0,9,5
1,2,4,0,0,0,0,16,4,49.0,1,4,430936.0,455877.0,-1.529576,53.998006,12,2,1,182.0,59.0,0.0,0,1,1,1,16,4,0,0,2,8
1,9,9,0,0,0,0,38,7,1246.0,1,10,545700.0,183960.0,0.099333,51.535747,1,2,2,16.0,123.0,0.0,0,2,2,0,19,4,0,0,3,1
1,9,18,0,0,0,0,38,7,1396.0,2,4,382070.0,351920.0,-2.269013,53.064219,21,1,2,253.0,500.0,0.0,1,1,1,0,74,10,5,1,0,9
1,9,9,0,0,0,0,29,6,998.0,1,13,414796.0,434251.0,-1.776818,53.804349,13,3,1,200.0,6144.0,0.0,0,2,1,0,23,5,0,0,1,4
2,9,18,0,0,0,0,43,7,1586.0,1,1,417240.0,290000.0,-1.747427,52.507625,20,2,1,306.0,0.0,0.0,0,1,1,0,48,8,0,0,9,1
2,9,3,0,0,0,0,36,7,1461.0,2,1,521167.0,223123.0,-0.240586,51.893496,41,2,1,433.0,656.0,0.0,1,1,1,0,24,5,0,0,9,10
2,9,18,0,0,0,0,37,7,1968.0,2,2,474126.0,178978.0,-0.933394,51.504884,43,2,6,484.0,341.0,0.0,1,1,1,0,90,11,0,0,9,10
1,9,18,0,0,1,0,23,5,1339.0,1,3,472764.0,172032.0,-0.954442,51.442616,43,1,2,472.0,327.0,7201.0,0,1,1,1,23,5,0,0,9,10
1,5,18,0,0,0,0,27,6,599.0,1,18,343240.0,464420.0,-2.868897,54.07256700000001,4,2,1,76.0,589.0,0.0,0,1,1,0,27,6,0,0,5,1
2,9,18,0,0,0,0,21,5,1341.0,1,12,538180.0,175770.0,-0.012224,51.464041,1,2,1,7.0,21.0,20.0,0,2,1,1,21,5,0,0,9,2
1,9,18,0,0,0,0,28,6,1388.0,1,12,528560.0,410201.0,-0.059985,53.572665,16,2,2,233.0,180.0,0.0,0,1,1,1,28,6,0,0,9,2
2,9,1,0,4,0,0,53,8,1797.0,1,17,416583.0,184606.0,-1.762182,51.560094,54,2,3,633.0,0.0,0.0,0,1,1,0,42,7,0,0,9,2
2,9,16,0,0,0,0,22,5,1242.0,1,5,436481.0,404074.0,-1.451097,53.532062,14,2,2,210.0,6100.0,0.0,0,1,2,1,20,4,0,0,9,3
1,9,18,0,0,0,0,58,9,1124.0,1,16,401410.0,394910.0,-1.980236,53.450949,30,1,1,325.0,57.0,0.0,0,1,1,0,27,6,5,1,0,1
1,9,9,0,0,0,0,28,6,1390.0,1,9,426011.0,569498.0,-1.594727,55.019351,10,2,3,148.0,2113.0,2113.0,0,1,1,1,28,6,0,0,9,1
2,9,10,0,0,0,0,55,8,1985.0,1,12,617710.0,217199.0,1.156876,51.811006,42,2,2,461.0,1369.0,0.0,0,2,1,0,55,8,0,0,9,1
1,9,18,0,0,0,0,38,7,1850.0,1,15,387460.0,394720.0,-2.190283,53.449091,6,1,1,102.0,0.0,0.0,0,1,1,1,10,2,8,2,0,1
1,9,18,0,10,4,0,20,4,998.0,1,17,468690.0,326111.0,-0.981963,52.828157,31,1,1,347.0,606.0,0.0,1,1,1,1,20,4,0,0,9,7
1,9,3,0,0,0,0,54,8,3199.0,1,19,531600.0,186920.0,-0.102731,51.565807,1,3,2,4.0,503.0,0.0,0,3,1,1,28,6,0,0,9,1
2,9,18,0,0,0,0,33,6,1796.0,1,13,429146.0,431791.0,-1.559163,53.781636,13,2,5,204.0,0.0,621.0,0,2,2,1,33,6,0,0,9,1
2,9,18,0,0,0,0,35,6,1229.0,1,7,543531.0,374713.0,0.149799,53.250028,32,3,3,351.0,1104.0,0.0,1,2,2,1,35,6,0,0,9,5
1,19,18,0,0,4,0,55,8,1560.0,2,1,446563.0,218679.0,-1.3251959999999998,51.864756,43,1,1,485.0,4260.0,0.0,1,1,1,0,55,8,0,0,19,10
1,9,13,0,0,0,0,56,9,1197.0,1,5,339310.0,410840.0,-2.918349,53.59060899999999,4,3,4,84.0,570.0,0.0,1,3,2,1,51,8,0,0,9,6
1,9,9,0,0,4,0,31,6,1368.0,1,8,482144.0,237937.0,-0.803972,52.033766,43,1,1,479.0,129.0,8004.0,1,1,1,1,31,6,0,0,9,4
1,9,18,0,0,6,0,18,4,1124.0,1,12,435740.0,256476.0,-1.478428,52.205357,23,2,1,293.0,40.0,0.0,1,1,1,0,18,4,0,0,9,2
1,9,5,0,0,0,0,42,7,1461.0,2,3,354660.0,422210.0,-2.688132,53.694353,4,2,1,83.0,0.0,5256.0,0,2,1,0,44,7,0,0,9,8
1,9,5,0,0,0,0,66,10,1999.0,1,10,343997.0,100281.0,-2.796036,50.79937,55,2,1,645.0,3162.0,77.0,1,2,1,1,47,8,0,0,1,10
1,9,9,0,0,0,0,29,6,1596.0,1,6,440976.0,538282.0,-1.365114,54.737847,11,2,3,169.0,181.0,19.0,1,2,3,0,9,2,0,0,9,8
2,9,9,0,0,0,0,19,4,1242.0,1,1,391430.0,401350.0,-2.13069,53.508764,6,2,2,104.0,0.0,0.0,0,2,1,0,19,4,0,0,9,2
1,9,18,0,0,0,0,55,8,1390.0,1,11,387170.0,386620.0,-2.194317,53.376277,6,3,1,109.0,0.0,5149.0,0,1,1,0,55,8,0,0,9,3
1,9,17,0,0,0,0,31,6,1596.0,1,9,538300.0,180560.0,-0.008624,51.507055,1,2,1,5.0,1206.0,0.0,0,2,1,0,39,7,0,0,2,5
1,9,3,0,0,0,0,36,7,1598.0,1,8,174294.0,44060.0,-5.167584,50.253309,50,2,2,596.0,0.0,0.0,1,1,2,0,15,3,0,0,9,6
3,8,18,0,0,0,0,57,9,1896.0,2,6,343556.0,396872.0,-2.851687,53.465549,5,3,4,90.0,580.0,0.0,1,2,3,0,41,7,0,0,9,9
2,9,8,0,0,0,0,45,7,1590.0,1,10,394222.0,304784.0,-2.086822,52.640767,21,2,1,254.0,460.0,460.0,1,2,1,1,45,7,0,0,9,6
2,9,3,0,0,0,0,58,9,1896.0,2,5,411449.0,308267.0,-1.832122,52.671992,21,2,3,252.0,5127.0,0.0,0,2,1,1,58,9,0,0,9,10
1,9,16,0,0,0,0,76,11,1560.0,2,1,501496.0,446637.0,-0.456568,53.905963,16,2,3,231.0,164.0,0.0,1,2,2,0,46,8,0,0,20,6
2,9,9,0,0,0,0,35,6,1905.0,2,19,403040.0,278750.0,-1.956739,52.406749,20,2,1,300.0,0.0,0.0,0,2,1,1,35,6,0,0,9,6
1,9,18,0,0,0,0,48,8,1968.0,2,1,523100.0,409963.0,-0.142486,53.571835,16,1,1,233.0,1136.0,0.0,1,1,1,0,13,3,5,1,0,6
2,9,3,0,0,0,0,40,7,1968.0,2,9,354530.0,422390.0,-2.690127,53.695959,4,3,6,83.0,5254.0,0.0,0,3,2,1,36,7,0,0,9,6
4,9,3,0,0,0,0,52,8,1995.0,1,9,390463.0,350923.0,-2.143739,53.055474,21,4,4,257.0,53.0,0.0,0,3,3,0,10,2,0,0,9,9
1,9,17,0,1,1,0,26,6,1390.0,1,4,487320.0,475968.0,-0.663853,54.172086,12,2,2,185.0,1258.0,0.0,1,1,1,1,26,6,0,0,9,8
3,9,4,0,0,0,0,34,6,1390.0,1,3,332350.0,434200.0,-3.028587,53.799684,4,3,3,71.0,0.0,0.0,0,3,3,1,34,6,0,0,9,1
1,9,18,0,0,9,0,48,8,1360.0,1,12,516164.0,321515.0,-0.279274,52.77873,32,1,1,355.0,151.0,0.0,1,1,1,1,48,8,0,0,9,9
1,11,4,2,0,0,0,47,8,6700.0,2,3,510340.0,181190.0,-0.411115,51.518863,1,2,13,26.0,4020.0,0.0,0,1,7,0,13,3,0,0,11,3
3,9,16,0,0,0,0,20,4,1242.0,1,13,443286.0,389086.0,-1.350498,53.396836,14,3,6,213.0,630.0,0.0,1,3,3,1,20,4,0,0,9,8
1,9,9,0,0,0,0,80,11,1398.0,1,3,428136.0,457733.0,-1.572116,54.014847,12,2,3,182.0,6161.0,256.0,1,2,2,0,77,11,0,0,9,8
1,8,3,0,0,0,0,40,7,1997.0,2,3,524210.0,175700.0,-0.213243,51.466647,1,4,1,10.0,219.0,0.0,1,1,1,1,32,6,0,0,8,7
2,9,18,5,0,0,0,23,5,1560.0,2,3,400734.0,91741.0,-1.990966,50.72529,55,2,1,643.0,0.0,0.0,0,1,1,1,34,6,0,0,1,10
3,9,4,0,0,0,0,25,5,1149.0,1,7,587302.0,186522.0,0.699883,51.546501,42,3,2,460.0,0.0,0.0,0,2,2,0,48,8,0,0,9,4
4,9,18,0,0,0,0,42,7,1896.0,2,9,449953.0,211829.0,-1.276956,51.80288,43,7,2,481.0,34.0,0.0,1,1,1,0,49,8,0,0,19,1
1,9,18,0,0,0,0,34,6,1769.0,1,12,348886.0,309728.0,-2.757531,52.682822,22,2,1,286.0,5112.0,5.0,1,2,1,1,61,9,0,0,9,8
3,9,18,0,0,9,0,37,7,1968.0,2,3,563382.0,199013.0,0.361061,51.666143,42,3,1,452.0,0.0,0.0,1,2,1,0,57,9,0,0,9,6
3,9,2,0,0,0,0,58,9,1349.0,1,11,405440.0,92266.0,-1.924287,50.729987,55,4,1,643.0,0.0,0.0,0,2,1,0,19,4,0,0,1,4
2,9,18,0,0,0,0,54,8,993.0,1,16,406990.0,295370.0,-1.898332,52.556126,20,2,1,300.0,4041.0,4149.0,0,2,1,1,44,7,0,0,9,2
1,2,17,0,0,0,0,36,7,49.0,1,1,453324.0,451378.0,-1.1888729999999998,53.955754000000006,12,1,1,189.0,1224.0,0.0,1,1,1,1,36,7,0,0,2,8
2,9,16,0,0,0,0,40,7,1910.0,2,8,453835.0,515006.0,-1.169689,54.527485,17,2,1,243.0,114.0,0.0,0,2,1,0,40,7,0,0,9,8
6,9,18,0,0,0,0,44,7,1341.0,1,11,455113.0,220016.0,-1.200828,51.875998,43,37,36,481.0,40.0,0.0,1,14,8,0,67,10,0,0,9,6
2,9,3,0,0,0,0,37,7,1870.0,2,14,435260.0,567949.0,-1.450271,55.004865,10,2,1,148.0,212.0,1149.0,0,2,1,1,37,7,0,0,9,1
3,9,3,0,0,0,0,41,7,1242.0,1,7,442512.0,392227.0,-1.361715,53.42513,14,3,2,213.0,6021.0,6021.0,0,2,2,0,52,8,0,0,9,1
1,9,18,0,0,4,0,20,4,1399.0,2,6,352540.0,476550.0,-2.728699,54.18251899999999,3,1,1,65.0,6.0,0.0,1,1,1,1,20,4,0,0,9,10
2,19,4,0,0,0,0,25,5,1560.0,2,2,507819.0,207114.0,-0.439458,51.752352,41,2,2,431.0,414.0,128.0,0,2,2,1,25,5,0,0,19,5
1,9,16,0,10,4,0,19,4,1388.0,1,7,488383.0,268992.0,-0.704969,52.311935,34,1,1,386.0,9437.0,0.0,0,1,1,1,19,4,0,0,9,4
1,9,18,0,0,0,0,34,6,1989.0,1,15,529020.0,181220.0,-0.14202,51.515179,1,3,1,1.0,4201.0,40.0,0,1,1,1,34,6,0,0,9,2
4,9,18,0,0,7,0,42,7,2400.0,2,3,354510.0,418950.0,-2.689924,53.665041,4,7,3,73.0,6.0,0.0,1,7,2,0,46,8,0,0,9,10
1,9,18,0,0,0,0,36,7,1582.0,2,5,389138.0,179083.0,-2.1579080000000004,51.510568,54,3,2,635.0,4.0,0.0,1,1,1,1,9,2,0,0,9,10
1,9,5,0,0,0,0,43,7,1587.0,1,9,497596.0,370620.0,-0.539629,53.223673,32,1,1,352.0,0.0,0.0,0,1,1,0,25,5,8,1,0,6
2,9,18,0,0,0,0,24,5,973.0,1,12,474968.0,262941.0,-0.903049,52.259538,34,2,3,384.0,151.0,8223.0,0,1,2,1,34,6,0,0,9,9
1,11,18,0,0,0,0,36,7,7300.0,2,6,382700.0,400520.0,-2.262275,53.501087,6,2,1,107.0,576.0,5066.0,0,2,1,0,10,2,0,0,1,1
2,9,9,0,0,0,0,43,7,1798.0,1,8,339266.0,392395.0,-2.915434,53.424834,5,2,2,91.0,0.0,5058.0,0,1,2,1,51,8,0,0,9,2
1,9,4,0,0,0,0,52,8,1461.0,2,2,402848.0,129334.0,-1.960735,51.063336,54,2,2,635.0,30.0,0.0,1,1,2,1,51,8,0,0,9,9
2,9,18,0,0,0,0,30,6,1598.0,1,10,389063.0,348209.0,-2.164533,53.031051,21,2,1,257.0,0.0,0.0,0,1,1,0,28,6,0,0,9,1
1,9,18,0,0,0,0,31,6,1796.0,2,2,343791.0,384283.0,-2.8459,53.35243000000001,5,2,1,91.0,0.0,0.0,0,2,1,0,66,10,0,0,1,4
2,9,18,0,0,0,0,33,6,1998.0,2,5,424201.0,322276.0,-1.642513,52.79750799999999,21,2,1,251.0,3.0,3.0,0,2,1,1,33,6,0,0,9,2
2,5,18,0,0,0,0,18,4,108.0,1,1,538170.0,165960.0,-0.016189,51.375889,1,2,1,19.0,232.0,0.0,0,2,1,0,18,4,0,0,5,9
2,9,7,0,0,11,0,67,10,1329.0,1,3,576429.0,193249.0,0.54662,51.610427,42,2,1,450.0,0.0,129.0,0,2,1,1,67,10,0,0,9,9
3,9,3,0,0,0,0,28,6,1086.0,1,9,450065.0,520438.0,-1.227012,54.576683,17,5,3,243.0,66.0,0.0,1,2,3,1,21,5,0,0,9,1
1,9,18,0,0,0,0,36,7,1968.0,2,3,336800.0,393146.0,-2.952689,53.431294,5,2,1,91.0,0.0,0.0,0,2,1,1,68,10,0,0,9,1
2,9,10,0,0,0,0,60,9,1598.0,1,3,496401.0,368172.0,-0.558261,53.20189300000001,32,2,2,352.0,1434.0,130.0,0,2,1,0,60,9,0,0,9,3
1,9,18,0,0,0,0,19,4,1390.0,1,12,410700.0,286710.0,-1.843887,52.478214,20,3,2,300.0,4128.0,0.0,0,2,1,0,70,10,0,0,9,2
1,9,18,0,4,0,0,31,6,1390.0,1,12,439920.0,350020.0,-1.405992,53.045962,30,2,1,320.0,6179.0,0.0,0,1,1,0,31,6,0,0,9,1
3,9,18,0,0,0,0,67,10,1969.0,2,1,365700.0,522400.0,-2.532377,54.59561,3,3,2,64.0,66.0,0.0,1,1,1,0,51,8,0,0,21,2
2,9,18,0,0,0,0,30,6,1598.0,1,10,526470.0,191140.0,-0.17518399999999998,51.604904,1,3,1,30.0,1000.0,0.0,0,2,1,0,10,2,0,0,9,4
1,9,18,0,0,0,0,32,6,1753.0,2,11,358680.0,417290.0,-2.626598,53.650468,4,3,7,73.0,6.0,0.0,0,3,6,1,12,3,0,0,9,1
1,9,15,0,0,0,0,30,6,1497.0,1,14,343140.0,499110.0,-2.87701,54.38429,3,2,1,65.0,0.0,0.0,1,2,1,0,53,8,0,0,2,7
1,9,18,0,0,0,0,23,5,1968.0,2,6,417260.0,285370.0,-1.747371,52.466001,20,2,2,306.0,0.0,0.0,0,1,1,0,23,5,0,0,9,3
2,9,3,0,0,0,0,58,9,1956.0,2,5,398472.0,308332.0,-2.024033,52.67269200000001,21,2,1,250.0,5.0,5.0,0,2,1,1,58,9,0,0,9,5
2,9,5,0,0,0,0,65,9,1328.0,1,9,413111.0,434414.0,-1.802396,53.805859,13,2,3,200.0,0.0,0.0,0,1,2,0,37,7,0,0,9,1
1,9,1,0,0,0,0,34,6,1900.0,2,17,562324.0,100788.0,0.301322,50.783948,47,2,1,551.0,0.0,0.0,0,2,1,1,57,9,0,0,9,8
2,9,9,0,0,0,0,19,4,1149.0,1,14,436173.0,291033.0,-1.468378,52.515988,23,2,2,291.0,0.0,0.0,0,2,1,1,0,1,0,0,9,1
2,20,18,0,0,0,0,52,8,2287.0,2,6,229938.0,69150.0,-4.3991940000000005,50.497401,50,2,1,596.0,0.0,0.0,1,1,1,1,28,6,0,0,9,5
2,9,3,0,0,0,0,19,4,998.0,1,7,435603.0,572112.0,-1.444392,55.042248,10,4,3,148.0,206.0,2186.0,0,2,3,1,19,4,0,0,9,10
2,9,18,0,0,0,0,55,8,1299.0,1,11,485770.0,237483.0,-0.751242,52.029137,43,2,3,479.0,147.0,1069.0,0,2,2,1,55,8,0,0,9,8
1,9,7,0,0,0,0,60,9,1968.0,2,11,517810.0,163800.0,-0.309284,51.361061,1,2,2,23.0,0.0,243.0,0,2,2,0,21,5,0,0,9,4
1,9,3,0,0,0,0,27,6,999.0,1,8,533550.0,192500.0,-0.072492,51.615493,1,3,1,32.0,406.0,0.0,0,1,1,0,27,6,0,0,9,4
1,9,18,0,0,0,0,77,11,1242.0,1,6,486520.0,195014.0,-0.75092,51.647276,43,2,2,480.0,4128.0,1792.0,1,2,2,0,40,7,0,0,9,8
2,9,18,0,0,0,0,35,6,1798.0,1,2,448739.0,534875.0,-1.245124,54.706542000000006,17,2,1,240.0,0.0,0.0,0,2,1,1,35,6,0,0,9,3
1,5,16,0,0,0,0,59,9,998.0,1,7,565328.0,234149.0,0.405936,51.981204,42,3,1,463.0,1053.0,0.0,1,1,1,0,59,9,0,0,5,4
2,9,18,0,0,0,0,36,7,2982.0,2,1,407690.0,286720.0,-1.888204,52.478354,20,2,2,300.0,0.0,0.0,0,1,1,0,50,8,0,0,9,2
1,9,4,0,0,0,0,24,5,1360.0,1,11,464425.0,100831.0,-1.0871110000000002,50.803464,44,2,1,498.0,3.0,2030.0,0,1,1,1,24,5,0,0,9,7
2,9,18,0,0,0,0,33,6,1598.0,1,12,355994.0,394812.0,-2.66406,53.448223,7,2,1,128.0,5204.0,572.0,1,2,1,1,33,6,0,0,9,2
2,3,5,0,0,0,0,29,6,125.0,1,5,531830.0,183750.0,-0.100601,51.537267,1,2,1,3.0,104.0,144.0,0,2,1,0,29,6,0,0,3,4
2,3,18,0,0,0,0,38,7,124.0,1,4,520030.0,180370.0,-0.271803,51.509519,1,2,1,27.0,0.0,0.0,0,2,1,0,38,7,0,0,3,4
1,9,4,0,0,0,0,60,9,1590.0,1,13,425498.0,436398.0,-1.614144,53.823233,13,3,1,204.0,65.0,0.0,1,1,1,1,60,9,0,0,9,9
1,5,18,0,0,0,0,48,8,883.0,1,11,415342.0,437544.0,-1.768364,53.83393,13,1,1,200.0,6149.0,0.0,0,1,1,1,16,4,5,2,0,7
2,9,11,0,0,0,0,30,6,1997.0,2,4,528450.0,188170.0,-0.147695,51.577766,1,2,1,31.0,1.0,550.0,0,1,1,1,55,8,0,0,5,8
1,9,9,0,0,0,0,52,8,1796.0,1,9,523140.0,186640.0,-0.22482,51.5652,1,2,2,28.0,5.0,0.0,0,2,1,0,38,7,0,0,2,5
1,9,13,0,0,0,0,30,6,2993.0,2,2,451346.0,519130.0,-1.207425,54.564801,17,4,3,243.0,118.0,0.0,0,4,3,0,28,6,0,0,9,1
2,3,18,0,0,0,0,19,4,124.0,1,6,371501.0,182288.0,-2.412304,51.538767,52,2,1,612.0,432.0,0.0,0,2,1,0,19,4,0,0,3,8
2,9,18,0,0,0,0,41,7,2497.0,2,9,567227.0,179792.0,0.407461,51.492343,42,2,2,462.0,0.0,0.0,1,2,1,0,41,7,0,0,9,4
1,9,16,0,0,0,0,19,4,999.0,1,12,633604.0,333358.0,1.467671,52.84701999999999,36,2,1,405.0,419.0,0.0,1,2,1,1,22,5,0,0,9,8
2,9,17,0,0,0,0,25,5,1242.0,1,11,444270.0,411363.0,-1.332566,53.596976,13,2,3,206.0,6422.0,0.0,1,2,2,0,33,6,0,0,9,1
2,9,18,0,0,0,0,74,10,1796.0,1,10,454829.0,392020.0,-1.176415,53.422136,14,2,4,213.0,631.0,0.0,1,1,1,0,88,11,0,0,9,1
2,9,9,0,0,0,0,36,7,1199.0,2,4,425516.0,563645.0,-1.602988,54.966782,10,2,2,146.0,322.0,6032.0,0,1,2,1,18,4,0,0,9,2
2,9,11,0,0,0,0,26,6,3498.0,1,11,359850.0,413530.0,-2.608412,53.61676600000001,4,2,3,73.0,6.0,0.0,1,2,2,0,26,6,0,0,9,9
20,9,18,0,0,0,0,51,8,3200.0,2,11,455113.0,220016.0,-1.200828,51.875998,43,37,36,481.0,40.0,0.0,1,22,13,0,40,7,0,0,9,9
2,9,9,0,0,0,0,27,6,1596.0,1,8,450512.0,513665.0,-1.221257,54.515776,17,2,2,243.0,1365.0,0.0,1,2,1,1,27,6,0,0,9,1
1,3,9,0,0,0,0,41,7,108.0,1,3,510900.0,176640.0,-0.404476,51.47785800000001,1,2,1,25.0,4.0,312.0,0,1,1,0,41,7,0,0,3,5
2,9,18,0,0,4,0,52,8,1598.0,1,11,516950.0,301080.0,-0.274879,52.59494100000001,35,2,2,394.0,47.0,0.0,0,2,2,1,23,5,0,0,9,9
